"Submit_ID","Brand_Reg","Model_No","SoldIn","Country","screensize_inches","Screen_Area","Screen_Tech","Avg_mode_power","Labelled energy consumption (kWh/year)","Star2","SubmitStatus","ExpDate","Product Class","Availability Status","Power supply","Tuner Type","What test standard was used","Registration Number","Regulatory Standard","screensize","screensize (S/M/L)","Act_stnd_power","Pasv_stnd_power","Act_stnd_time","Product Website","Star Rating Index","Star Image Large"
148618,"SMARTTECH","SMT-F40T1","Australia,Fiji,New Zealand","China",39,4258.3,"LCD (LED)",35.9,151,6,"Approved","2027-08-07","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV5171","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",100.305,"Medium","0.0","0.34","0.0","N/A",6.022503316218213,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
148621,"DECAMAX","WY55F1F-EU","New Zealand","China",55,8227.5336,"LCD (LED)",106.68,430,3.5,"Approved","2122-07-04","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0642","AS/NZS 62087.2.2:2011",138.666,"Large","0.0","0.42","0.0","N/A",3.9679651265589566,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps"
148569,"SIGNIFY","EA2277","Australia,New Zealand","China",55,8230.118400000001,"LCD (LED)",98.268,378,4.5,"Approved","2027-07-31","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV5160","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",138.783,"Large","0.317814","0.31776","14.0","N/A",4.546877182237033,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
148739,"ARK","H24","New Zealand","China",24,1528.8,"LCD",14,53,7,"Approved","2122-07-31","Single product class","Available","EPS","unknown","AS/NZS 62087.1:2010","ZTV0647","AS/NZS 62087.2.2:2011",59.736,"Small","0.0","0.43","0.0","N/A",7.1315097403651855,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps"
149164,"METZ","55MXD9500N","New Zealand","China",55,8167.5,"OLED",90.1,424,4,"Approved","2122-07-29","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0645","AS/NZS 62087.2.2:2011",138.554,"Large","0.325","0.325","4.0","N/A",4.000700737851957,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps"
149571,"ILUMA","ILU-SMARTTV32-DVD","Australia,New Zealand","China",32,2765,"LCD",32.18,119,5,"Approved","2027-09-25","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ATV5240","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",80.376,"Medium","0.0","0.24","0.0","N/A",5.483988771987925,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
150329,"TEAC","LEDV2422DT","Fiji,New Zealand","China",24,1528.497216,"LCD (LED)",19.6,90,4.5,"Approved","2122-09-11","Single product class","Available","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0657","AS/NZS 62087.2.2:2011",59.809,"Small","-","-","-","http://www.teac.co.nz",4.757909454846906,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
150503,"DGTEC","DG65UHDOS","Australia,Fiji,New Zealand","China",65,11478.122496000002,"LCD (LED)",95.274,367,6,"Approved","2027-10-20","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV5273","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",163.896,"Large","0.361848","0.3594","14.0","N/A",6.0693688847202,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
154089,"HUBBL GLASS","LT043A-04-FXTL","Australia","Poland",43,4996.71,"LCD (LED)",50.73,200,5,"Approved","2028-05-09","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ATV5626","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",108.048,"Medium","-","-","-","N/A",5.38515551905164,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
154681,"FURRION","FDFD24D4D-H2","Australia,Fiji,New Zealand","China",24,1562.462784,"LCD (LED)",25.58,96,4.5,"Approved","2028-06-19","Single product class","Available","EPS","Digital","AS/NZS 62087.1:2010","ATV5668","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",60.47,"Small","-","-","-","N/A",4.536463658690008,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
155884,"TAVICE","65DF","Australia,New Zealand","China",65,11487.349999999999,"LCD",130.03,477,4.5,"Approved","2028-08-06","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ATV5741","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",163.84,"Large","0.0","0.39","0.0","N/A",4.897938042835031,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
155890,"KODAK","KD65G11","Australia,Fiji,New Zealand","China",64,11402.6,"LCD",94.65,358,6,"Approved","2028-08-01","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV5740","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",163.132,"Large","0.0","0.354","0.0","N/A",6.152760171397917,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
157792,"VEON","VN43ID7023","New Zealand","China",43,4983.18,"LCD (LED)",57.65,212,5,"Approved","2123-10-16","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ZTV0694","AS/NZS 62087.2.2:2011",108.037,"Medium","0.287","0.287","7.0","N/A",5.113372384226902,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
158428,"VDT","LEW22BA43","Australia,Fiji,New Zealand","China",22,1277.919504,"LCD (LED)",20.64,78,4.5,"Approved","2028-12-19","Single product class","Available","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ATV5906","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",54.687,"Small","-","-","-","N/A",4.864733842526665,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
159165,"DYNALINK","S 8866","Australia,Fiji,New Zealand","China",24,1531.74,"LCD",19.8,76,5.5,"Approved","2029-03-13","Single product class","Available","EPS","Digital","AS/NZS 62087.1:2010","ATV6081","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",59.823,"Small","0.0","0.6","0.0","http://www.altronics.com.au/",5.522126954239557,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps"
159188,"Q.BELL","QT50WX8A","Australia,Fiji,New Zealand","China",50,6755.730318,"LCD (LED)",83.3,317,4.5,"Approved","2029-01-21","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV5991","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",125.743,"Large","-","-","-","http://www.ayonz.com/",4.526947355502383,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
159389,"S VISION","SVU550WOS","Australia,Fiji,New Zealand","China",55,8438.4124,"LCD (LED)",103.3,379,4.5,"Approved","2029-02-18","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6038","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",140.219,"Large","-","-","-","http://www.ayonz.com/",4.638361742226943,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
159848,"FFALCON","FF43U64","Australia,Fiji,New Zealand","China",42,4977.889999999999,"LCD (LED)",41.8,170,6,"Approved","2029-03-04","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6061","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",107.95,"Medium","0.0","0.404","0.0","http://www.tclelectronics.com.au/",6.098642353264821,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
159933,"SONY","K-77XR80","Australia,New Zealand","Malaysia",77,16206.349999999999,"OLED",152.2,562,5.5,"Approved","2029-03-03","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6054","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",194.726,"Large","14.4","0.5","0.65","http://www.sony.com.au/",5.629745196783028,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps"
160009,"YOKOHAMA","YTV240Z","Australia","China",24,1526.53,"LCD (LED)",20.24,76,5.5,"Approved","2029-04-16","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ATV6160","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",59.774,"Small","-","-","-","N/A",5.511654351347501,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps"
160117,"THOMSON","STVLED43FHD-W","Australia,Fiji,New Zealand","China",42,4977.889999999999,"LCD (LED)",49.14,194,5.5,"Approved","2029-03-18","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ATV6097","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",107.95,"Medium","-","-","-","N/A",5.506827258294353,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps"
160808,"HUBBL","LT065A-04-FXTL","Australia","Poland",65,11477.9975,"LCD (LED)",64.71,240,7,"Approved","2029-04-09","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ATV6154","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",163.897,"Large","-","-","-","N/A",7.972684747758714,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps"
161213,"TELEFUNKEN","TL320GQ","Australia,Fiji,New Zealand","China",32,2743.6644,"LCD (LED)",32.5,131,5,"Approved","2029-05-08","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6182","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",80.131,"Medium","-","-","-","http://www.ayonz.com/",5.025764678684717,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
162012,"SYLVOX","KT16K0KOGA","Australia,Fiji,New Zealand","China",16,666.259344,"LCD (LED)",14.7,56,4.5,"Approved","2029-05-23","Single product class","Available","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ATV6191","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",39.487,"Small","-","-","-","N/A",4.692023881003697,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
162445,"LOEWE","BILD S.77","Australia","Germany",77,16204.123099999999,"OLED",220,833,3.5,"Approved","2029-06-16","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6233","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",194.738,"Large","77.0","0.42","1.0","N/A",3.865573586776292,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps"
162494,"KONKA","KUD65XG684AN","New Zealand","China",65,11478.122496000002,"LCD (LED)",114.354,442,5,"Approved","2124-05-24","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0704","AS/NZS 62087.2.2:2011",163.896,"Large","0.62772","0.37714","14.0","N/A",5.236057624197626,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
162688,"BROOKLYN","BM32WOSDVD","Australia,Fiji,New Zealand","China",32,2736.70931232,"LCD (LED)",33.5,125,5,"Approved","2029-06-23","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6244","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",80.039,"Medium","0.0","0.36","0.0","http://www.ayonz.com/",5.226810398773459,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
162755,"PANASONIC","TV-55W95AGZ","New Zealand","China",55,8230.118400000001,"LCD (LED)",72.6,296,5.5,"Approved","2124-05-31","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0709","AS/NZS 62087.2.2:2011",138.783,"Large","0.0","0.33","0.0","http://www.panasonic.co.nz/",5.642740091361378,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps"
163621,"TOSHIBA","32V35NP","Australia,New Zealand","China",32,2736.689025,"LCD (LED)",24.17,97,6,"Approved","2029-07-29","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6284","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",80.039,"Medium","0.0","0.27","0.0","http://global.hisense.com/",6.363284451982482,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
164202,"SPHERE","S924TVSB","Australia,New Zealand","China",24,1562.462784,"LCD (LED)",19.64,74,5.5,"Approved","2029-08-28","Single product class","Available","EPS","Digital","AS/NZS 62087.1:2010","ATV6302","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",60.47,"Small","0.39","0.39","0.0","http://www.coastrv.com.au/",5.702901571552478,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps"
164495,"TECO","LED32IHRK","Australia,Fiji,New Zealand","China",31,2728.32,"LCD (LED)",35.6,140,4.5,"Approved","2029-09-17","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6309","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",79.88,"Small","0.0","0.32","0.0","http://www.teco.com.au/",4.707985055307133,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
164539,"ALTIUS","AT32HDW2-BCF","Australia","China",32,2737.0770999999995,"LCD (LED)",27.036,102,6,"Approved","2029-10-21","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6330","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",80.043,"Medium","-","-","-","N/A",6.138546025859608,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
164843,"ENGLAON","LED32X90","Australia,New Zealand","Australia",32,2743.6644,"LCD (LED)",37.1,145,4.5,"Approved","2029-10-28","Single product class","Available","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ATV6334","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",80.131,"Medium","-","-","-","http://www.englaon.com.au",4.570737326913083,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
165152,"PALSONIC","PT6515SU","Australia","China",65,11478.122496000002,"LCD (LED)",105.43,439,5,"Approved","2029-10-24","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6333","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",163.896,"Large","0.48","0.3","4.0","N/A",5.266578196996688,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
165404,"AKAI","AK3223S7WOS","Australia","China",32,2737.0770999999995,"LCD (LED)",27.14,101,6,"Approved","2029-11-11","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ATV6340","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",80.043,"Medium","-","-","-","N/A",6.182698305345105,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
165429,"SONIQ","G65UV50A","Australia,Fiji,New Zealand","China",65,11478.122496000002,"LCD",92.076,340,6,"Approved","2029-12-10","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6392","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",163.896,"Large","0.64009","0.38409","14.0","N/A",6.4118221171542435,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
165430,"POLAROID","PL7024WOS","Australia,New Zealand","China",70,13380.189120000001,"LCD",108.294,397,6,"Approved","2029-11-12","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6343","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",176.535,"Large","-","-","-","N/A",6.367605973033433,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
165561,"SVISION","SV43FWOS","Australia,Fiji,New Zealand","China",43,5055.75,"LCD (LED)",43,159,6,"Approved","2029-11-28","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6356","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",108.593,"Medium","0.0","0.36","0.0","http://www.ayonz.com/",6.459455558274884,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
165650,"JVC","JV5524M","New Zealand","China",55,8230.118400000001,"LCD (LED)",65.9,270,6,"Approved","2124-11-01","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0716","AS/NZS 62087.2.2:2011",138.783,"Large","-","-","-","https://www.thewarehouse.co.nz/",6.054750632487112,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
165660,"CHIQ","U75M9","Australia,Fiji,New Zealand","China",75,15318.517823999999,"LCD",154.23,608,5,"Approved","2029-11-24","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6348","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",189.34,"Large","0.0","0.3","0.0","https://www.chiq.com.au/",5.035437844893429,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
166021,"AOA","LTW50UHD","Australia,Fiji,New Zealand","China",50,6754.867344,"LCD (LED)",73.4,270,5,"Approved","2030-01-01","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ATV6416","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",125.731,"Large","0.0","0.4","0.0","http://www.macc-tv.com/",5.2456061104364435,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
